Дата и время публикации;vk_posotive_rubert;vk_negative_rubert
19.10.2022;0.5274115800857544;0.472588449716568
24.05.2024;0.47931429743766785;0.520685613155365
23.05.2024;0.00011998489208053797;0.9998799562454224
23.05.2024;0.671546995639801;0.328453004360199
23.05.2024;0.5505935549736023;0.44940638542175293
23.05.2024;0.3761754333972931;0.6238245368003845
23.05.2024;0.5146687030792236;0.4853312373161316
22.05.2024;0.6415086388587952;0.35849133133888245
22.05.2024;0.6798816919326782;0.3201183080673218
22.05.2024;9.784127905732021e-05;0.9999021291732788
21.05.2024;0.5000498294830322;0.49995023012161255
20.05.2024;0.5106706619262695;0.48932939767837524
20.05.2024;0.6653234958648682;0.3346765339374542
19.05.2024;0.6096328496932983;0.39036715030670166
18.05.2024;0.6162655353546143;0.38373449444770813
17.05.2024;0.500087320804596;0.49991267919540405
17.05.2024;8.660462481202558e-05;0.9999133348464966
17.05.2024;0.5602754950523376;0.43972456455230713
16.05.2024;9.690079605206847e-05;0.9999030828475952
16.05.2024;9.938161383615807e-05;0.9999005794525146
16.05.2024;0.45548269152641296;0.5445172786712646
16.05.2024;9.670565486885607e-05;0.9999033212661743
16.05.2024;0.6572271585464478;0.34277287125587463
16.05.2024;8.752002031542361e-05;0.9999125003814697
15.05.2024;0.00011077235831180587;0.9998892545700073
15.05.2024;0.5041611790657043;0.49583879113197327
14.05.2024;0.541749894618988;0.45825013518333435
14.05.2024;0.5041738748550415;0.4958260953426361
13.05.2024;0.5087696313858032;0.4912303388118744
13.05.2024;0.6584786772727966;0.34152132272720337
13.05.2024;9.50931862462312e-05;0.9999048709869385
13.05.2024;0.5977956056594849;0.40220439434051514
12.05.2024;0.48573920130729675;0.5142608284950256
12.05.2024;0.6013016700744629;0.3986983299255371
12.05.2024;0.5667940378189087;0.43320605158805847
12.05.2024;0.49012139439582825;0.5098785758018494
12.05.2024;0.5559507012367249;0.44404929876327515
11.05.2024;0.00010372535325586796;0.9998962879180908
11.05.2024;0.00011466189607745036;0.9998853206634521
11.05.2024;0.5204740762710571;0.4795258939266205
10.05.2024;0.5116028785705566;0.4883970618247986
10.05.2024;0.5769896507263184;0.42301028966903687
09.05.2024;8.982096915133297e-05;0.9999101161956787
08.05.2024;0.5678660273551941;0.43213391304016113
08.05.2024;0.5144069790840149;0.4855930209159851
07.05.2024;0.5707240104675293;0.4292759895324707
07.05.2024;9.438328561373055e-05;0.9999055862426758
07.05.2024;0.5048702955245972;0.49512967467308044
06.05.2024;0.5773875713348389;0.42261242866516113
06.05.2024;0.0001012457360047847;0.9998987913131714
06.05.2024;0.6555836200714111;0.3444163501262665
05.05.2024;0.00010735590331023559;0.9998925924301147
04.05.2024;0.6588233709335327;0.3411766588687897
04.05.2024;0.4736631214618683;0.5263368487358093
04.05.2024;0.5569573640823364;0.4430425763130188
04.05.2024;0.6227177381515503;0.37728220224380493
03.05.2024;9.627944382373244e-05;0.999903678894043
